runnr	thickness	energy	events
1	0.0	2.	2000000
2	0.0	1.	2000000
3	0.0	3.	2000000
4	0.0	4.	2000000
5	0.0	5.	2000000
7	0.025	5.	2000000
9	0.025	4.	2000000
11	0.025	3.	2000000
12	0.025	2.	2000000
13	0.025	1.	2000000
15	0.05	1.	2000000
17	0.05	2.	2000000
18	0.05	3.	2000000
19	0.05	4.	2000000
20	0.05	5.	2000000
22	0.1	5.	2000000
23	0.1	4.	2000000
24	0.1	3.	2000000
26	0.1	2.	2000000
28	0.1	1.	2000000
30	0.2	1.	2000000
32	0.2	2.	2000000
33	0.2	3.	2000000
35	0.2	4.	2000000
36	0.2	5.	2000000
38	1.0	5.	2000000
39	1.0	4.	2000000
41	1.0	3.	2000000
42	1.0	2.	2000000
44	1.0	1.	2000000
46	10.0	1.	2000000
47	10.0	2.	2000000
48	10.0	3.	2000000
49	10.0	4.	2000000
50	10.0	5.	2000000
52	0.013	1.	2000000
54	0.013	2.	2000000
55	0.013	3.	2000000
56	0.013	4.	2000000
57	0.013	5.	2000000
