runnr	energy	thickness
83700	1	0
83701	2	0
83702	3	0
83703	4	0
83704	5	0
83705	1	0.013
83706	2	0.013
83707	3	0.013
83708	4	0.013
83709	5	0.013
83710	1	0.025
83711	2	0.025
83712	3	0.025
83713	4	0.025
83714	5	0.025
83715	1	0.05
83716	2	0.05
83717	3	0.05
83718	4	0.05
83719	5	0.05
83720	1	0.1
83721	2	0.1
83722	3	0.1
83723	4	0.1
83724	5	0.1
83725	1	0.2
83726	2	0.2
83727	3	0.2
83728	4	0.2
83729	5	0.2
83730	1	1
83731	2	1
83732	3	1
83733	4	1
83734	5	1
83735	1	10
83736	2	10
83737	3	10
83738	4	10
83739	5	10
